"Listing Number","Subdivision","Street Number","Street Name","Status","Area","Listing Date","Expiration Date","Status Change Date","Under Contract Date","Agent Days On Market","Cumulative DOM","Original List Price","Listing Price","Sold Price","Sold Price/SqFt","SqFt - Living","# Bedrooms","Baths - Full","Baths - 1/2","Approximate Age","Lot Dimensions","Property Type","Type","Sold Date","Acreage Range","Selling Office","Listing Office","Listing Member","Selling Member","City","State","Zip Code","Unit #","Parish","Co-selling Member","Legal Desc","Projected Closing Date","Compensation","Pool on Subject Property","Lot #","Co-listing Member","Sold Terms"
"23000632","Acadiana Heights","149","Earline","A","F","2023-01-20","","2023-01-23","","271","271","177000.00","172000.00","","","1212.00","2","2","","31 - 40 Years","Lot B 55x130  Lot C 55x130","Residential","DS","","0 - 0.5","","Guidry & Co. Real Estate, Inc. (l000109)","Andrea Laborde","","Lafayette","LA","70506","","Lafayette","","Lot 97 B & C of Acadiana Heights Sub with Improvements.  Parish of Lafayette, State of Louisiana","","3%","N","97 B & C","",""
"23004468","Green Farms","110","Orchard Park","A","O","2023-05-24","","2023-05-24","","147","147","660460.00","660960.00","","","2754.00","4","3","1","New","As per Plat","Residential","DS","","0 - 0.5","","Dwight Andrus Real Estate Agency, LLC (l001261)","Matt Andrus","","Lafayette","LA","70508","","Lafayette","","LOT 60 Green Farms Subdivision Lafayette Parish Louisiana","","2.5%","N","60","",""
"23001009","None","1830","Main","A","I5","2023-02-01","","2023-09-11","","85","85","264000.00","240000.00","","","2791.00","4","3","1","76+ Years","66x152","Residential","DS","","0.51 - 0.99","","Dream Home Realty, LLC (l001181)","Monique Fritz","","Jeanerette","LA","70544","","Iberia","","1 LOT 9 (73.10X120) BLK I C A GOURNEY SUB DIV 1 LOT N 32.5' OF LOT 8","","3%-$150","Y","008","",""
"23008500","Sawgrass Park","305","Timber Bark","A","N","2023-09-17","","2023-09-18","","31","31","230000.00","230000.00","","","1320.00","3","2","","6 - 10 Years","55x110","Residential","DS","","0 - 0.5","","Keller Williams Realty Acadiana (l000906)","Monette Evans","","Lafayette","LA","70508","","Lafayette","","LOT 159 SAWGRASS PARK PH 2-B (55X110)","","2.5","N","159","Natalie Vied",""
"23007357","Pecan Acres","503","Pecan","A","St. Mary","2023-08-11","","2023-08-16","","63","63","132700.00","132700.00","","","1282.00","3","2","","51 - 75 Years","62.5' X 124.39'","Residential","DS","","0 - 0.5","","Thomson Real Estate (l000967)","Alexa Lovell","","Franklin","LA","70538","","St Mary","","Lot Tract ABCDA per plat 21X 179229 being lot 10 and the north 12.5 ft No 11 Pecan Acres SUbd Blk A   ACQ 38A 249203","","3% - $200","N","10","",""
"23003708","None","122","Julia","A","I2","2023-05-03","","2023-05-03","","168","168","388000.00","345000.00","","","3710.00","3","2","1","41 - 50 Years","0","Residential","DS","","0 - 0.5","","The Gleason Group (l001255)","Nikki Nugier","","New Iberia","LA","70560","","Iberia","","1-33 X 150 ITEM 2 WICK COMM, JULIA, WICK COMM, JORDAN & WICK COMM IMP","","3%-150","N","0","Barton Broussard",""
"23005874","Coulee Bend","207","Paulman","A","D","2023-07-01","","2023-09-02","","109","109","295000.00","225000.00","","","2520.00","4","3","","51 - 75 Years","irregular","Residential","DS","","0 - 0.5","","Keller Williams Realty Acadiana (l000906)","Keylon Bruno","","Lafayette","LA","70507","","Lafayette","","LOT 38 COULEE BEND SUB","","2.5","N","003","",""
"23006513","Country Lakes","106","Sunrise Point","A","K","2023-07-17","","2023-07-20","","93","93","225000.00","187000.00","","","1275.00","3","2","","11 - 15 Years","60X105","Residential","DS","","0 - 0.5","","Century 21 Action Realty (l001065)","Allyson Deer","","Rayne","LA","70578","","Lafayette","","LOT 37 COUNTRY LAKES SUBD (60X105)","","2.5","N","37","Brittany LeBlanc",""
"23008269","None","108","Lukes Gray","A","N","2023-09-10","","2023-09-14","","34","34","630000.00","620000.00","","","3151.00","4","3","1","41 - 50 Years","see tax assessor site","Residential","DS","","0.51 - 0.99","","Keller Williams Realty Acadiana (l000906)","Brian Gotreaux","","Lafayette","LA","70503","","Lafayette","","LOT 3B SEC 72 T10S R4E (0.75 AC)","","2.5","N","3B","",""
"23008961","None","105","Connoly","A","D","2023-10-02","","2023-10-02","","16","16","220000.00","220000.00","","","1332.00","3","2","","21 - 30 Years","137x293.8","Residential","DS","","0.51 - 0.99","","EXP Realty, LLC (l001154)","Harold Scott","","Carencro","LA","70520","","Lafayette","","PLOT 2-F IN SEC 82 T8S R5E (0.924 AC)(137X293.8)(1980-23567 PLAT)","","3%","N","NA","",""
