"Listing Number","Subdivision","Street Number","Street Name","Status","Area","Listing Date","Expiration Date","Status Change Date","Under Contract Date","Agent Days On Market","Cumulative DOM","Original List Price","Listing Price","Sold Price","Sold Price/SqFt","SqFt - Living","# Bedrooms","Baths - Full","Baths - 1/2","Approximate Age","Lot Dimensions","Property Type","Type","Sold Date","Acreage Range","Selling Office","Listing Office","Listing Member","Selling Member","City","State","Zip Code","Unit #","Parish","Co-selling Member","Legal Desc","Projected Closing Date","Compensation","Pool on Subject Property","Lot #","Co-listing Member","Sold Terms"
"23008683","Holiday Gardens","100","Holiday","P","O","2023-09-22","","2023-10-15","2023-10-15","16","16","199900.00","199900.00","","","1839.00","4","2","1","51 - 75 Years","Irregular","Residential","DS","","0 - 0.5","","Dwight Andrus Real Estate Agency, LLC (l001261)","Ted Bauer","","Lafayette","LA","70508","","Lafayette","","LOT 1-A HOLIDAY PARK SUB (93.15 FT FRONT)","2023-11-30","2.5%","N","1-A","",""
"23001340","Cypress Meadows","308","White Sky","P","O","2023-02-17","","2023-10-18","2023-10-17","231","231","299999.00","299999.00","","","1628.00","3","2","","New","60 X 120","Residential","DS","","0 - 0.5","","Andries Migues Realty, LLC (l001394)","Guy Migues","","Broussard","LA","70518","","Lafayette","","LOT 418 CYPRESS MEADOWS PH 3-B (60X120)","2023-11-28","2.5%-$150","N","418","",""
"23008439","The Reserve Estates","110","Fallow","P","O","2023-09-13","","2023-09-18","2023-09-18","5","5","283000.00","283000.00","","","1490.00","3","2","","6 - 10 Years","157.77 x 33.60 x 140.38","Residential","DS","","0 - 0.5","","Free Listings Lafayette (l001317)","Melissa Holland","","Broussard","LA","70518","","Lafayette","","LOT 47 THE RESERVE & THE RESERVE ESTATES","2023-11-03","3%-.5%","N","004","",""
"23005015","Magnolia Lakes","3209","Haven Lake","P","V1","2023-06-05","","2023-09-27","2023-09-26","113","113","261000.00","256000.00","","","1900.00","4","2","","New","60 x 120","Residential","DS","","0 - 0.5","","Real Broker, LLC (l001335)","Sean Hettich","","Maurice","LA","70555","","Vermilion","","Lot 67 Magnolia Lakes","2023-10-18","3%","N","67","",""
"23007654","City Park Addition","183","Radcliffe","P","H","2023-08-21","","2023-10-06","2023-10-02","42","42","189500.00","185000.00","","","1658.00","3","2","","41 - 50 Years","186.8X156.9X140","Residential","DS","","0.51 - 0.99","","Latter & Blum (l000050)","Pekitha West","","Lafayette","LA","70501","","Lafayette","","LOT 57 CITY PARK ADD (186.8X156.9X140)","2023-11-06","3%-150","N","57","",""
"23009344","Charli's Crossing","108","Refuge","P","O","2023-10-14","","2023-10-15","2023-10-14","0","0","235000.00","235000.00","","","1272.00","3","2","","Under Construction","41.50' x 86.42'","Residential","DS","","0 - 0.5","","Real Broker, LLC (l001335)","Cody Musgrove","","Youngsville","LA","70592","","Lafayette","","Lot 44 of Charli's Crossing Subdivision, Youngsville, LA 70592","2024-06-28","2.5%","N","44","Sylvia McLain",""
"23007816","Indian Hills","630","Choctaw","P","L2","2023-08-25","","2023-09-20","2023-09-20","26","87","159000.00","159000.00","","","2117.00","3","2","","31 - 40 Years","75X153","Residential","DS","","0 - 0.5","","Andries Migues Realty, LLC (l001394)","Contessa Dugar","","Opelousas","LA","70570","","St Landry","","1 LOT 332 (60X153) & WEST 15' LOT 331 (15X153) INDIAN HILL SUB DIV FRONTING 75' ON CHOCTAW DR 1166992","2023-10-20","3%-$150","N","N/A","",""
"23007589","Kates Crossing","218","Vagabond","P","G3","2023-08-21","","2023-10-04","2023-10-04","44","44","245840.00","245840.00","","","1735.00","3","2","","Under Construction","50X121X80X120","Residential","DS","","0 - 0.5","","Cicero Realty LLC (l001234)","Saun Sullivan","","Lafayette","LA","70506","","Lafayette","","KATES CROSSING PHASE 1; LOCATED IN SECT. 8, T10S-R4E","2023-11-09","2.5%","N","37","",""
"23006202","Beau Champs","124","Chicory","P","K","2023-07-10","","2023-10-04","2023-10-03","80","80","210000.00","210000.00","","137.47","1564.00","3","2","","Other - See Remarks","80x123","Residential","DS","","0 - 0.5","","EXP Realty, LLC (l001154)","Coby Hebert","","Lafayette","LA","70506","","Lafayette","","LOT 13 BEAUX CHAMPS SUB (80X123.82)","2023-11-10","3%","N","13","",""
"23008312","Ville de Cote Gelee","107","Valsain","P","O","2023-09-11","","2023-09-11","2023-09-11","0","0","285800.00","285800.00","","","1637.00","3","2","","Under Construction","60x120","Residential","DS","","0 - 0.5","","Lamplighter Realty, LLC (l001186)","Tassie Fonseca","","Broussard","LA","70518","","Lafayette","","LOT 53 VILLE DE COTE GELEE PH 2  (60X120)","2023-12-15","2.5%","N","53","",""
"23007384","None","2930","Chitimacha","P","St. Mary","2023-08-14","","2023-10-15","2023-10-15","62","62","117000.00","107000.00","","","2254.00","5","2","","76+ Years","142.21x231.6x73.96x70x70x151.04","Residential","DS","","0.51 - 0.99","","Brandon E. Breaux Real Estate (l000979)","Brandon Breaux","","Charenton","LA","70523","","St Mary","","LOT BD LANE & LOUVIERE - NEWALL - NEWALL - PUB ROAD ACQ 418 337541 IMPROVEMENTS","2023-11-30","3%","N","None","Marcus Harris",""
