"Listing Number","Subdivision","Street Number","Street Name","Status","Area","Listing Date","Expiration Date","Status Change Date","Under Contract Date","Agent Days On Market","Cumulative DOM","Original List Price","Listing Price","Sold Price","Sold Price/SqFt","SqFt - Living","# Bedrooms","Baths - Full","Baths - 1/2","Approximate Age","Lot Dimensions","Property Type","Type","Sold Date","Acreage Range","Selling Office","Listing Office","Listing Member","Selling Member","City","State","Zip Code","Unit #","Parish","Co-selling Member","Legal Desc","Projected Closing Date","Compensation","Pool on Subject Property","Lot #","Co-listing Member","Sold Terms"
"23006852","Gourney Addition","230","Stephanie","C","L3","2023-07-28","","2023-10-16","2023-09-13","47","47","169500.00","163000.00","153000.00","103.80","1474.00","3","1","1","31 - 40 Years","64x120","Residential","DS","2023-10-16","0 - 0.5","@ Home Realty, LLC (l001325)","@ Home Realty, LLC (l001325)","Tiffany Thibodeaux","Yolanda Thibodeaux","Eunice","LA","70535","","St Landry","","1 LOT 2 (64X120) BLK K CORBET A GOURNAY SUB DIV EXT 1 FRONTING 64' ON","2023-10-16","2","N","002","","Cash"
"23008352","Rural Tract","14335","Gordon","C","V2","2023-09-13","","2023-10-16","2023-09-18","5","5","169000.00","169000.00","167000.00","91.06","1834.00","2","2","","51 - 75 Years","188X403","Residential","DS","2023-10-16","1 - 2.99","Latter & Blum (l000050)","Keller Williams Realty Acadiana (l000906)","Stephen Hundley","Kelly Streva","Maurice","LA","70555","","Vermilion","","1.657 AC SEC 1 T 11 R 2 E &/OR SEC 36 T 10      R 2 E BEING LOT 11 (PLAT 2012004442)   2023005014 IMP","2023-10-16","2.5%","N","11","","VA"
"23004272","Coteau Ridge","1702","Highland","C","I3","2023-05-17","","2023-10-02","2023-08-29","104","104","233000.00","230000.00","230000.00","142.59","1613.00","3","2","","Under Construction","50 X 120","Residential","DS","2023-10-02","0 - 0.5","EXP Realty, LLC (l001154)","Keaty Real Estate Team (l000932)","James Keaty","Lucas Mahne","New Iberia","LA","70560","","Iberia","","Coteau Ridge Lot 67","2023-10-04","3%","N","67","","FHA"
"23004199","Harvest Trace","112","Autumn Drive","C","A1","2023-05-16","","2023-10-02","2023-08-21","90","90","297500.00","275500.00","275500.00","99.39","2772.00","5","3","","Under Construction","50 X 130","Residential","DS","2023-10-02","0 - 0.5","Savvy Team Realty, LLC (l001123)","Keaty Real Estate Team (l000932)","James Keaty","Dan Yang","Crowley","LA","70526","","Acadia","","Harvest Trace Lot 13","2023-09-29","3%","N","13","","Cash"
"23007331","Chartres Place","204","Tapestry","C","N","2023-08-11","","2023-10-02","2023-08-27","16","16","319900.00","319900.00","320000.00","147.19","2174.00","5","3","","11 - 15 Years","80x100","Residential","DS","2023-10-02","0 - 0.5","EXP Realty, LLC (l001154)","EXP Realty, LLC (l001154)","Brandon Landry","Michael Carr","Lafayette","LA","70508","","Lafayette","","LOT 43 CHARTRES PLACE SUB (80X100)","2023-10-02","2.5% -250","Y","43","","VA"
"23007641","Centennial Village","210","Arsenal","C","C","2023-08-22","","2023-10-02","2023-09-01","10","10","235000.00","235000.00","238000.00","112.16","2122.00","3","2","","11 - 15 Years","60 x 114 x 112 x 80","Residential","DS","2023-10-02","0 - 0.5","Rhodes Realty, LLC (l001240)","Keller Williams Realty Acadiana (l000906)","Cheryl Boullion","Lulu David","Carencro","LA","70520","","Lafayette","","LOT 67 CENTENNIAL VILLAGE (60 X 114.26 X 80 X 112.50)","2023-10-02","2.%","N","006","","VA"
"23004841","Bendel Gardens","506","Beverly","C","G2","2023-06-02","","2023-10-02","2023-09-25","105","105","625000.00","575000.00","500000.00","116.80","4281.00","4","4","1","41 - 50 Years","120x 140","Residential","DS","2023-10-02","0.51 - 0.99","Keaty Real Estate Team (l000932)","Keaty Real Estate Team (l000932)","Emily Babineaux","Michelle Foreman","Lafayette","LA","70503","","Lafayette","","LOT 297 BENDEL GARDENS SUB","2023-10-09","2.5% -$150","N","297","","Cash"
"23000305","Madeline Heights","1004","Madeline Heights","C","M1","2023-01-11","","2023-10-02","2023-08-11","103","103","155000.00","125000.00","130000.00","76.47","1700.00","3","2","","21 - 30 Years","102*125","Residential","DS","2023-10-02","0 - 0.5","ICON Real Estate Co (l001333)","Brandon E. Breaux Real Estate (l000979)","Brandon Breaux","Jenny Hale","Breaux Bridge","LA","70517","","St Martin","","LOT: 99.71' FRONTAGE W/2 OF LOT 1 OF MADELINE HEIGHTS SUB.COB: 1316-1","2023-10-03","3%","N","1","Marcus Harris","Conv"
"22004998","Three Mile Lake","206","Wilson","C","L1","2022-05-27","","2023-10-03","2023-09-16","299","299","275000.00","250000.00","220000.00","146.67","1500.00","3","1","1","11 - 15 Years","90 x 200","Residential","DS","2023-10-02","0 - 0.5","Keller Williams Realty Acadiana (l000906)","Keller Williams Realty Acadiana (l000906)","Ammy Taylor","Ammy Taylor","Port Barre","LA","70577","","St Landry","","1 LOT 12 (90X200) (.413 AC) KIMBLETON LAKE SUBDIV N KIMBLETON LAKE DR","2023-10-09","3%","N","012","","Cash"
"23007627","City of Crowley","218","7th","C","A1","2023-08-21","","2023-10-03","2023-09-11","18","18","75000.00","75000.00","60000.00","43.80","1370.00","2","1","","76+ Years","50x150","Residential","DS","2023-10-02","0 - 0.5","Parish Realty Acadiana (l001178)","Keller Williams Realty Acadiana (l000906)","John Ray Perkins","Lauren Gardiner","Crowley","LA","70526","","Acadia","","N 125' OF LOT 8 BLK 104 CITY OF CROWLEY (5/6 LOT) (IMP) (C-1800) (LOT","2023-10-02","3%","N","008","","Cash"
